fhrs_address,DPA_MATCH_DESCRIPTION,DPA_UPRN,plot_address,plot_lng,plot_lat
"Cynthia a's cakes sugarcraft, Unit 10, 137-139 Rye Lane, London, SE15 4ST",GOOD,2.00E+11,"138, RYE LANE, LONDON, SE15 4RZ",-0.067840182,51.4684418
"Dans food, 97 Queens Road, London, SE15 2EZ",EXACT,2.00E+11,"DANS FOOD, 97, QUEENS ROAD, LONDON, SE15 2EZ",-0.060401135,51.47410125
"Daphanies taste of the caribbean, 173 Peckham High Street, London, SE15 5SL",GOOD,2.00E+11,"DAPHNES, 173, PECKHAM HIGH STREET, LONDON, SE15 5SL",-0.065264878,51.47418161
"Ddk jerk centre, 8-10 Blenheim Grove, London, SE15 4QL",GOOD,2.00E+11,"9, BLENHEIM GROVE, LONDON, SE15 4QS",-0.069907083,51.46927619
"Delight cafe - uckg help centre, 178 Rye Lane, London, SE15 4NF",GOOD,2.00E+11,"U C K G HELP CENTRE, 176-178, RYE LANE, LONDON, SE15 4NF",-0.066974377,51.46746532
"Delta express pizza, 9 Peckham High Street, London, SE15 5EB",GOOD,10091837436,"DELTA EXPRESS CHICKEN, 9, PECKHAM HIGH STREET, LONDON, SE15 5EB",-0.072980874,51.47389502
"Dennis butchers, 135 Peckham High Street, London, SE15 5SL",EXACT,2.00E+11,"DENNIS BUTCHERS, 135, PECKHAM HIGH STREET, LONDON, SE15 5SL",-0.067051115,51.47416611
"Destiny kids nursery, Copleston Centre, Copleston Road, London, SE15 4AN",GOOD,2.00E+11,"COPLESTON CENTRE, COPLESTON ROAD, LONDON, SE15 4AN",-0.076992274,51.46582254
"Dixie chicken, 16 Peckham High Street, London, SE15 5DT",GOOD,10091837532,"DIXIE FRIED CHICKEN, 16, PECKHAM HIGH STREET, LONDON, SE15 5DT",-0.072560927,51.47326762
"East dulwich community nursery, 6-7 Whaddon House Dog Kennel H, Albrighton Road, London, SE22 8AQ",GOOD,10091872820,"EAST DULWICH COMMUNITY NURSERY, 6-7 WHADDON HOUSE, EAST DULWICH ESTATE, LONDON, SE22 8AQ",-0.0809743,51.46459285
"East dulwich estate community project & tenants as, Albrighton Community Centre, 37 Albrighton Road, London, SE22 8AH",GOOD,2.00E+11,"ALBRIGHTON COMMUNITY CENTRE, 37, ALBRIGHTON ROAD, LONDON, SE22 8AH",-0.081606948,51.46461219
"F c soper, 141 Evelina Road, London, SE15 3HB",GOOD,2.00E+11,"F C SOPERS, 141, EVELINA ROAD, LONDON, SE15 3HB",-0.057301886,51.46570475
"Flock and herd, 155 Bellenden Road, London, SE15 4DH",GOOD,2.00E+11,"FLOCK X HERD, 155, BELLENDEN ROAD, LONDON, SE15 4DH",-0.072621574,51.46670399
"Forza win ltd, Unit 4.1 Copeland Industrial P, 133 Copeland Road, London, SE15 3SN",,,,,
"Four quarters, 187 Rye Lane, London, SE15 4TP",GOOD,2.00E+11,"THE FOUR QUARTERS, 187, RYE LANE, LONDON, SE15 4TP",-0.066862602,51.46806598
"Frank's cafe and campari bar, Level 10 Peckham Rye Car Park, 95A Rye Lane, London, SE15 4ST",,,,,
"Fresh fish & seafood, 77 Rye Lane, London, SE15 5EX",GOOD,2.00E+11,"77, RYE HILL PARK, LONDON, SE15 3JS",-0.05485965,51.45948628
"Fresh fruit & vegetable for you, 161 Peckham Hill Street, London, SE15 5JZ",GOOD,2.00E+11,"HILL STREET FRUIT & VEG, 161, PECKHAM HILL STREET, LONDON, SE15 5JZ",-0.068647593,51.47455212
"Frog on the green, 119 Consort Road, London, SE15 3RU",EXACT,2.00E+11,"119, CONSORT ROAD, LONDON, SE15 3RU",-0.061847332,51.4678393
"Full garden, 230 Rye Lane, London, SE15 4NL",GOOD,2.00E+11,"FULL GARDEN CHINESE TAKEAWAY, 230, RYE LANE, LONDON, SE15 4NL",-0.066448636,51.46627861
"Fung sing, 40 Peckham Road, London, SE5 8PX",GOOD,10023234336,"40B-40E, WICKHAM ROAD, LONDON, SE4 1NZ",-0.030576431,51.46680559
"Ganapati south indian restaurant, 38 Holly Grove, London, SE15 5DF",GOOD,2.00E+11,"GNAPATTI RESTAURANT, 38, HOLLY GROVE, LONDON, SE15 5DF",-0.073071379,51.46969694
"Ganapati takeaway kitchen, 4 Maxted Road, London, SE15 4LL",GOOD,1.00E+11,"4, MAXEY ROAD, LONDON, SE18 7EL",0.075697116,51.49036784
"General store (london) limited, Part Ground Floor, 174 Bellenden Road, London, SE15 4BW",GOOD,2.00E+11,"THE GENERAL STORE, 174, BELLENDEN ROAD, LONDON, SE15 4BW",-0.07283057,51.46721101
"Ghana mini market, 1 Choumert Road, London, SE15 4SE",EXACT,2.00E+11,"GHANA MINI MARKET, 1, CHOUMERT ROAD, LONDON, SE15 4SE",-0.067725876,51.46808021
"God bless new cafe, 14 Choumert Road, London, SE15 4SE",GOOD,2.00E+11,"GOD BLESS, 14, CHOUMERT ROAD, LONDON, SE15 4SE",-0.068296079,51.46821551
"Goitom behr, 144-150 Rye Lane, London, SE15 4RZ",GOOD,2.00E+11,"149, RYE LANE, LONDON, SE15 4ST",-0.067709092,51.46915905
"Golden noodle, 177 Queens Road, London, SE15 2ND",GOOD,2.00E+11,"GOLDEN NOODLES, 177, QUEENS ROAD, LONDON, SE15 2ND",-0.056479743,51.47353272
"Golden taste, 18a Peckham Rye, London, SE15 4JR",PARTIAL,2.00E+11,"51 TROY TOWN FLATS, PECKHAM RYE, LONDON, SE15 4NS",-0.067291497,51.46575295
"Gosling nursery, 106 Evelina Road, London, SE15 3HL",GOOD,2.00E+11,"GOSLINGS NURSERY, 106, EVELINA ROAD, LONDON, SE15 3HL",-0.056607626,51.46645762
"Gosnells beverages ltd, Unit 10 Print Village, 58 Chadwick Road, London, SE15 4PU",GOOD,10091837468,"POLAR BEAR EUROPE LTD, UNIT 10, PRINT VILLAGE, 58, CHADWICK ROAD, LONDON, SE15 4PU",-0.074116397,51.46813141
"Gowlett arms, 62 Gowlett Road, London, SE15 4HY",EXACT,2.00E+11,"GOWLETT ARMS, 62, GOWLETT ROAD, LONDON, SE15 4HY",-0.070497675,51.46380939
"Greenhive, 50 Brayards Road, London, SE15 2BQ",GOOD,2.00E+11,"GREENHIVE HOUSE, 50, BRAYARDS ROAD, LONDON, SE15 2BQ",-0.061842595,51.46863057
"Greggs, Unit 8 The Aylesham Centre, Rye Lane, London, SE15 5EW",GOOD,2.00E+11,"GREGGS, UNIT 8, AYLESHAM CENTRE, RYE LANE, LONDON, SE15 5EW",-0.068681094,51.47273616
"Greggs the bakers, 66 Peckham High Street, London, SE15 5DP",GOOD,2.00E+11,"66, PECKHAM HILL STREET, LONDON, SE15 5JY",-0.070000107,51.47662471
"Gregsons pharmacy ltd, 60 Nunhead Lane, London, SE15 3QE",EXACT,2.00E+11,"SHEEL PHARMACY, 60, NUNHEAD LANE, LONDON, SE15 3QE",-0.058996545,51.46444686
"Guidetti fine foods & wines, Unit C Astbury Business Park, Astbury Road, London, SE15 2NW",GOOD,2.00E+11,"GUIDETTI FINE FOODS, UNIT C, ASTBURY BUSINESS PARK, ASTBURY ROAD, LONDON, SE15 2NW",-0.055855117,51.47535408
"H barry, 60-62 Gibbon Road, London, SE15 3XE",GOOD,2.00E+11,"60, GIBBON ROAD, LONDON, SE15 3XE",-0.051841612,51.46646844
"H.a smith & son, 111-113 Evelina Road, London, SE15 3HB",GOOD,2.00E+11,"111B, EVELINA ROAD, LONDON, SE15 3HB",-0.056299507,51.46625467
"Hagi vegetable & grocery, 143 Peckham High Street, London, SE15 5SL",GOOD,2.00E+11,"HAGI VEG GROCERS, 143, PECKHAM HIGH STREET, LONDON, SE15 5SL",-0.06671977,51.47416964
"Haji baba halal meats, 174 Rye Lane, London, SE15 4NB",GOOD,2.00E+11,"174, RYE HILL PARK, LONDON, SE15 3JT",-0.055381967,51.45972876
"Harte's irish meat market, 59 Rye Lane, London, SE15 5EX",GOOD,2.00E+11,"59, RYE HILL PARK, LONDON, SE15 3JN",-0.055187189,51.4602471
"Hax international, 156-158 Rye Lane, London, SE15 4NB",GOOD,2.00E+11,"157-159, RYE LANE, LONDON, SE15 4TL",-0.067434238,51.46884877
"Highshore school, Highshore School, Bellenden Road, London, SE15 5BB",EXACT,2.00E+11,"HIGHSHORE SCHOOL, BELLENDEN ROAD, LONDON, SE15 5BB",-0.072399627,51.47231175
"Holland & barrett ltd, Unit 9 Aylesham Centre, Rye Lane, SE15 5EW",GOOD,2.00E+11,"HOLLAND & BARRETT LTD, UNIT 9, AYLESHAM CENTRE, RYE LANE, LONDON, SE15 5EW",-0.068681094,51.47273616
"Hollydale tavern, 115 Hollydale Road, London, SE15 2TF",EXACT,2.00E+11,"HOLLYDALE TAVERN, 115, HOLLYDALE ROAD, LONDON, SE15 2TF",-0.056286164,51.46961771
"Hoopers, 28 Ivanhoe Road, London, SE5 8DH",EXACT,10091664572,"28, IVANHOE ROAD, LONDON, SE5 8DH",-0.079601755,51.46571648
"Iceland frozen foods, 74 Rye Lane, London, SE15 5DQ",GOOD,2.00E+11,"74, RYE HILL PARK, LONDON, SE15 3JU",-0.056051962,51.45988375
"Il giardino restaurant, 7 Blenheim Grove, London, SE15 4QS",EXACT,2.00E+11,"IL GIARDINO RESTAURANT, 7, BLENHEIM GROVE, LONDON, SE15 4QS",-0.069092232,51.4694786
"In house catering john donne primary school, John Donne Primary School, Woods Road, London, SE15 2SW",GOOD,2.00E+11,"JOHN DONNE PRIMARY SCHOOL, WOODS ROAD, LONDON, SE15 2SW",-0.061324249,51.47304639
"Isatus kitchen, 4 Station Way, London, SE15 4RX",GOOD,2.00E+11,"2-4, STATION WAY, LONDON, SE15 4RX",-0.069071364,51.46997285
"Iss caterhouse, 83 Peckham Road, London, SE5 8UH",GOOD,1.00E+11,"FIRST FLOOR FLAT, 83, WICKHAM ROAD, LONDON, SE4 1NH",-0.03304313,51.46200893
"Iss caterhouse, St James The Great School, Peckham Road, London, SE15 5LP",GOOD,10000812518,"ST. JAMES THE GREAT CATHOLIC PRIMARY SCHOOL, PECKHAM ROAD, LONDON, SE15 5LP",-0.073120227,51.47434694
